Metric,Value
mse,0.6859918832778931
rmse,0.8282462697035786
mae,0.6483756899833679
pred_mean,3.1677000522613525
pred_std,0.5407414436340332
target_mean,3.3262290954589844
target_std,1.045667290687561
precision,1.0
recall,2.0112784450082283e-06
ndcg,1.0
map,0.8042437482308193
